id,name,parentId,active
1,"Salary & Bonus",1,1
2,"Freelance & Consulting",1,1
3,"Investment Returns",1,1
4,"Gifts & Allowances",1,1
5,"Food & Dining",2,1
6,"Housing & Utilities",2,1
7,"Transportation & Fuel",2,1
8,"Services & Subscriptions",2,1
9,"Entertainment & Leisure",2,1
10,"Healthcare & Fitness",2,1
11,"Electricity Bill",3,1
12,"Water Bill",3,1
13,"Internet & Cable",3,1
14,"Credit Card Bill",3,1
15,"Housing & Rent Bill",3,1
16,"Subscription & Streaming",3,1
17,"Gym & Fitness Bill",3,1
18,"Insurance & Loans",3,1
19,"Monthly Living Budget",4,1
20,"Discretionary Budget",4,1
21,"Emergency Savings",5,1
22,"Vacation Fund",5,1
